Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
56a4f4cd-5b01-51cf-b7f2-86236b4c7e1f	-	-	*	*
d0496b9a-fb7f-7684-fc15-b14f38bc45a4	-	-	*	*
375c775d-931d-826a-bfe6-4c579c482c43	-	-	*	*
d2a0b07e-b21e-015c-d987-276fdf71d623	-	-	*	*
15adac7c-de73-9d09-3e97-c99af56e7314	-	-	*	*
39aa83a5-d323-43e0-5307-4b97f5eb271f	28901	590	*	*
77c40a85-c4bb-957c-69df-c9856877fa21	-	-	*	*
579e4dd2-f0de-216a-4899-edc8ceb359b6	287	286	*	*
cd5067fa-98e7-3f98-4f92-823a09b290e6	-	-	*	*
3deb3ff3-faab-5f49-eb1f-2ae496e5af49	1639	1637	*	*
adc3bcb1-9a3d-045a-a1f5-f9b21eaa665f	-	-	*	*
3aa115b5-ad2d-26f1-38ec-059b08a470bf	562	561	*	*
f87f0c21-69b2-281a-e701-0037dd2a901a	28901	590	*	*
e3ab1363-f114-5895-deee-1b09bd8534de	-	-	*	*
a81246b2-1733-dad0-1c54-3e4b3200a83c	-	-	*	*
36c07d5b-e53a-f609-7392-c076a8f25e97	-	-	*	*
38b5f510-311f-4e6d-44b9-d6cc36664af1	-	-	*	*
43312448-4c8b-88da-3173-8ab8fca89271	-	-	*	*
de5f22f8-e8ed-aef7-1f84-5473ca435e20	-	-	*	*
a42c3833-7e22-0147-7acf-b2687cb166e8	-	-	*	*
55f33e46-37d0-74a5-811d-ef5e829eb412	-	-	*	*
f9cc795d-9bb2-f5d0-1c76-b0402a74f55b	-	-	*	*
b8f7f2b4-e963-9e7c-fa23-2d214693aa46	1639	1637	*	*
d3ecb3d6-c7d6-f52c-bc13-9501905add3e	-	-	*	*
fa96fe68-7076-a79c-eb72-fb2e6f90b1df	-	-	*	*
642f94d6-46c6-f7c4-3a09-b4e4a9c225f3	-	-	*	*
3fefff97-4171-2026-b3a1-0a13279fbb9c	-	-	*	*
169516f6-9fbd-aecd-c0f1-6a038d10da31	-	-	*	*
84a2c637-6582-c9d8-5fbe-bfe0f3bbb6eb	287	286	*	*
9f45c0a4-0d05-bef6-e2b9-66687a05e1ca	-	-	*	*
5fca362a-7ccc-97f5-afd0-8f7fa98b8c05	-	-	*	*
c734e098-3617-35c1-f92f-c2450d0f5a02	287	286	*	*
a73bfe08-ffae-0ed5-f70b-c3fc10a21eba	-	-	*	*
